4307500;15240;783.07;19.5;521559
4307559;6011;100.27;60.0;164670
4307609;42574;52.15;816.4;1027735
4307708;80755;27.68;2917.9;2383405
4307807;30619;184.18;166.3;1048400
4307815;3628;281.67;12.9;110732
4307831;2798;419.30;6.7;154013
4307864;2579;134.30;19.2;57050
4307906;63635;361.68;176.6;1969735
4308003;6672;169.51;39.3;133578
4308052;2567;143.38;17.9;49083
4308078;3697;84.79;43.6;89089
4308102;12359;95.37;129.6;278113
4308201;27126;272.61;99.2;908080
4308250;2018;168.43;12.0;41130
4308300;10719;583.47;18.4;126582
4308409;7014;580.03;12.1;125391
4308433;2479;92.84;26.5;35512
4308458;4575;650.37;7.0;211555
4308508;28843;264.98;108.9;713383
4308607;30689;168.14;181.3;1205022
4308656;3234;803.74;4.0;94241
4308706;5862;204.26;28.7;143508
4308805;8447;510.01;16.6;122808
4308854;1677;184.01;9.1;82618
4308904;16154;286.57;56.4;371521
4309001;17075;855.92;20.0;507737
4309050;6891;323.64;21.3;315781
4309100;32273;237.83;135.7;1179300
4309126;2269;131.40;17.3;39622
4309159;3970;217.53;18.3;59199
4309209;255660;463.50;551.6;8305064
4309258;1598;146.90;10.8;44237
4309308;95204;376.95;252.6;2712045
4309407;22814;297.66;76.6;538935
4309506;8115;290.50;27.9;216280
4309555;4254;44.76;95.0;88917
4307104;6753;1757.61;3.8;82162
4309571;2954;118.28;25.0;50643
4309605;18348;229.40;78.9;1279777
4309654;6043;822.90;7.3;113117
4309704;4919;134.51;36.6;113443
4309753;4371;194.92;22.6;66829
4309803;4710;348.82;13.5;157068
4309902;7171;300.65;23.9;185331
4309951;4061;307.35;13.2;90415
4310009;19310;607.54;31.8;805393
4310108;31660;135.86;233.0;1130246
4310207;78915;689.39;114.5;2505902
4310306;4102;116.48;35.2;88939
4310330;17670;39.40;448.5;313506
4310363;3023;73.69;41.2;136935
4310405;6618;357.44;18.5;161832
4310413;2267;114.11;19.9;47414
4310439;6016;599.25;10.0;152921
4310462;1944;157.88;12.3;74406
4310504;8078;180.96;44.6;117667
4310538;5010;172.80;29.0;72243
4310553;3441;1120.87;3.1;66474
4310579;2344;184.67;12.7;42362
4310603;38159;3406.61;11.2;934111
4310652;2584;206.91;12.5;55718
4310702;4171;212.24;19.7;47418
4310751;2156;122.93;17.5;41987
4310801;19874;63.15;314.7;629154
4310850;4098;128.05;32.0;68823
4310876;2507;338.54;7.4;79539
4310900;3633;179.30;20.3;116116
4311007;27931;2051.02;13.6;490480
4311106;11473;673.40;17.0;184769
4311122;4177;907.94;4.6;52222
4311130;3575;856.46;4.2;151025
4311155;8331;1235.92;6.7;350353
4311205;19579;1930.39;10.2;730054
4311239;2662;108.73;24.5;47749
4311270;1598;138.64;11.5;66844
4311304;27525;1263.50;21.8;742283
4311254;6185;386.96;16.1;83035
4311403;71445;91.16;793.1;2473401
4311429;2487;67.93;36.6;37637
4311502;7679;2600.60;3.0;171385
4311601;5780;245.63;23.5;87149
4311627;5227;32.99;158.4;208392
4311643;1624;63.73;25.5;38758
4311718;4738;1682.82;2.8;178190
4311700;5510;335.03;16.5;98157
4311734;3003;157.85;19.0;34321
4311759;7072;1390.70;5.1;170378
4311775;6905;621.56;11.1;81754
4311791;2527;82.17;31.1;80611
4311809;36364;649.30;56.0;1333062
4311908;5134;229.76;22.4;81751
4311981;3768;337.79;11.2;45407
4312005;2210;98.98;22.3;40275
4312054;4068;125.18;32.5;60222
